state,shootings
Washington,362
Oregon,216
Kansas,128
California,1976
Colorado,484
Oklahoma,388
Arizona,610
Iowa,82
Pennsylvania,282
Texas,1202
Ohio,374
Louisiana,264
Montana,82
Utah,164
Arkansas,194
Illinois,268
Nevada,230
New Mexico,268
Minnesota,152
Missouri,334
Virginia,234
New Jersey,160
Indiana,246
Kentucky,246
Massachusetts,88
New Hampshire,36
Florida,874
Idaho,114
Maryland,194
Nebraska,68
Michigan,214
Georgia,492
Tennessee,364
North Carolina,376
Alaska,94
New York,250
Maine,58
Alabama,248
Mississippi,174
Wisconsin,218
South Carolina,210
Delaware,32
District of Columbia,42
West Virginia,126
Hawaii,74
Wyoming,30
North Dakota,30
Connecticut,46
South Dakota,42
Vermont,22
Rhode Island,8
